,density,depth
10,183.35833333333335,0.1
30,200.6583333333333,0.3
50,244.2361111111111,0.5
70,274.5597222222222,0.7
90,306.99583333333334,0.9
110,329.2208333333333,1.1
130,351.0292218046127,1.3
150,363.03702779300403,1.5
170,383.77745789487057,1.7
190,414.492887996737,1.9
210,441.83499943394287,2.1
230,447.11084463612707,2.3
250,440.06890555228273,2.5
270,432.4214126662038,2.7
290,419.15569140677604,2.9
310,395.74565151986525,3.1
330,401.41502077431005,3.3
350,420.8017709169707,3.5
370,460.5399204065924,3.7
390,488.3580789274652,3.9
410,502.99354888674907,4.1
430,526.3502202158246,4.3
450,518.1538598163539,4.5
470,519.6518855254087,4.7
490,532.8795828243367,4.9
