site,sky_view,elevation,slope,aspect,kp,snowdepth,firndepth,lat,lon
A,0.946668783,1315,10.2020922,205.3066209,2.5,1.8,0,63.259091,-145.428586
AU,0.9487,1442,6.65,227.4,2.4973,1.5,0,63.264986,-145.41675
AB,0.9539,1542,4.81,179.3,2.01114,1.6,0,63.272482,-145.416498
ABB,0.953454917,1608,5.897816268,183.9843139,2.35,1.86,0,63.27884,-145.414178
B,0.961710674,1682,6.052854305,207.6860539,2.6889,2.7,0,63.285586,-145.41039
BD,0.96558963,1742,7.371767044,257.9118652,2.8,2.73,0,63.289101,-145.401015
D,0.936525039,1843,7.122470467,337.6892791,3.5478,3.5,10,63.285115,-145.385018
T,0.972241974,1877,5.046142101,136.7533569,3.538547645,4.5,10,63.279063,-145.461041
C,0.98893793,1957,6.575016718,148.3973071,,4,,63.298883,-145.421072
V,0.963656859,1883,10.35215914,175.4850177,,4,,63.294753,-145.420605
W,0.980948762,1952,10.15995591,122.2047884,,5,,63.280513,-145.477223
X,0.977384984,2037,8.455522329,123.4238406,,5,,63.285958,-145.480202
Z,0.96963905,2081,6.821376945,213.5376409,,5,,63.288623,-145.482731
