,dirirrslope
2024-01-01 00:00:00,0.0
2024-01-01 00:30:00,0.0
2024-01-01 01:00:00,0.0
2024-01-01 01:30:00,0.0
2024-01-01 02:00:00,0.0
2024-01-01 02:30:00,0.0
2024-01-01 03:00:00,0.0
2024-01-01 03:30:00,0.0
2024-01-01 04:00:00,0.0
2024-01-01 04:30:00,0.0
2024-01-01 05:00:00,0.0
2024-01-01 05:30:00,0.0
2024-01-01 06:00:00,0.0
2024-01-01 06:30:00,0.0
2024-01-01 07:00:00,0.0
2024-01-01 07:30:00,45.344693401861484
2024-01-01 08:00:00,112.34540974525883
2024-01-01 08:30:00,207.07169057433558
2024-01-01 09:00:00,323.1807501787901
2024-01-01 09:30:00,452.47659218010347
2024-01-01 10:00:00,585.7205076014053
2024-01-01 10:30:00,713.3610399854028
2024-01-01 11:00:00,826.2342671200299
2024-01-01 11:30:00,916.2169195529079
2024-01-01 12:00:00,976.7986422879125
2024-01-01 12:30:00,1003.538779108716
2024-01-01 13:00:00,994.378433746309
2024-01-01 13:30:00,949.78742388418
2024-01-01 14:00:00,872.736500462581
2024-01-01 14:30:00,768.4968543850906
2024-01-01 15:00:00,644.2805805371657
2024-01-01 15:30:00,508.7465663384201
2024-01-01 16:00:00,371.4061207797344
2024-01-01 16:30:00,241.9744940483657
2024-01-01 17:00:00,129.76007028945259
2024-01-01 17:30:00,43.72638099315371
2024-01-01 18:00:00,0.0
2024-01-01 18:30:00,0.0
2024-01-01 19:00:00,0.0
2024-01-01 19:30:00,0.0
2024-01-01 20:00:00,0.0
2024-01-01 20:30:00,0.0
2024-01-01 21:00:00,0.0
2024-01-01 21:30:00,0.0
2024-01-01 22:00:00,0.0
2024-01-01 22:30:00,0.0
2024-01-01 23:00:00,0.0
2024-01-01 23:30:00,0.0
2024-01-02 00:00:00,0.0
2024-01-02 00:30:00,0.0
2024-01-02 01:00:00,0.0
2024-01-02 01:30:00,0.0
2024-01-02 02:00:00,0.0
2024-01-02 02:30:00,0.0
2024-01-02 03:00:00,0.0
2024-01-02 03:30:00,0.0
2024-01-02 04:00:00,0.0
2024-01-02 04:30:00,0.0
2024-01-02 05:00:00,0.0
2024-01-02 05:30:00,0.0
2024-01-02 06:00:00,0.0
2024-01-02 06:30:00,0.0
2024-01-02 07:00:00,0.0
2024-01-02 07:30:00,45.43145062809062
2024-01-02 08:00:00,113.33436321842171
2024-01-02 08:30:00,209.6286810691692
2024-01-02 09:00:00,327.87693035125983
2024-01-02 09:30:00,459.7342514239309
2024-01-02 10:00:00,595.7788178780191
2024-01-02 10:30:00,726.2577914678836
2024-01-02 11:00:00,841.8029117005152
2024-01-02 11:30:00,934.0983990697489
2024-01-02 12:00:00,996.4668740337804
2024-01-02 12:30:00,1024.3378956857607
2024-01-02 13:00:00,1015.5691379968052
2024-01-02 13:30:00,970.5992277218097
2024-01-02 14:00:00,892.4222286905674
2024-01-02 14:30:00,786.385645497158
2024-01-02 15:00:00,659.825720384111
2024-01-02 15:30:00,521.5648394915629
2024-01-02 16:00:00,381.3059291451153
2024-01-02 16:30:00,248.97067588579364
2024-01-02 17:00:00,134.07344781479188
2024-01-02 17:30:00,45.75152212436747
2024-01-02 18:00:00,0.0
2024-01-02 18:30:00,0.0
2024-01-02 19:00:00,0.0
2024-01-02 19:30:00,0.0
2024-01-02 20:00:00,0.0
2024-01-02 20:30:00,0.0
2024-01-02 21:00:00,0.0
2024-01-02 21:30:00,0.0
2024-01-02 22:00:00,0.0
2024-01-02 22:30:00,0.0
2024-01-02 23:00:00,0.0
2024-01-02 23:30:00,0.0
2024-01-03 00:00:00,0.0
2024-01-03 00:30:00,0.0
2024-01-03 01:00:00,0.0
2024-01-03 01:30:00,0.0
2024-01-03 02:00:00,0.0
2024-01-03 02:30:00,0.0
2024-01-03 03:00:00,0.0
2024-01-03 03:30:00,0.0
2024-01-03 04:00:00,0.0
2024-01-03 04:30:00,0.0
2024-01-03 05:00:00,0.0
2024-01-03 05:30:00,0.0
2024-01-03 06:00:00,0.0
2024-01-03 06:30:00,0.0
2024-01-03 07:00:00,0.0
2024-01-03 07:30:00,46.06825398442306
2024-01-03 08:00:00,115.7181481864859
2024-01-03 08:30:00,214.79162739476135
2024-01-03 09:00:00,336.67611819614496
2024-01-03 09:30:00,472.77228324244516
2024-01-03 10:00:00,613.3552190034618
2024-01-03 10:30:00,748.345999065858
2024-01-03 11:00:00,868.0517587421392
2024-01-03 11:30:00,963.8569735726445
2024-01-03 12:00:00,1028.8305991810198
2024-01-03 12:30:00,1058.212447734906
2024-01-03 13:00:00,1049.7476942780543
2024-01-03 13:30:00,1003.847670291198
2024-01-03 14:00:00,923.5664057397597
2024-01-03 14:30:00,814.3946595691264
2024-01-03 15:00:00,683.8854848221054
2024-01-03 15:30:00,541.1368043798653
2024-01-03 16:00:00,396.16688294987506
2024-01-03 16:30:00,259.2308053457198
2024-01-03 17:00:00,140.17109303070913
2024-01-03 17:30:00,48.416611712694916
2024-01-03 18:00:00,0.0
2024-01-03 18:30:00,0.0
2024-01-03 19:00:00,0.0
2024-01-03 19:30:00,0.0
2024-01-03 20:00:00,0.0
2024-01-03 20:30:00,0.0
2024-01-03 21:00:00,0.0
2024-01-03 21:30:00,0.0
2024-01-03 22:00:00,0.0
2024-01-03 22:30:00,0.0
2024-01-03 23:00:00,0.0
2024-01-03 23:30:00,0.0
2024-01-04 00:00:00,0.0
2024-01-04 00:30:00,0.0
2024-01-04 01:00:00,0.0
2024-01-04 01:30:00,0.0
2024-01-04 02:00:00,0.0
2024-01-04 02:30:00,0.0
2024-01-04 03:00:00,0.0
2024-01-04 03:30:00,0.0
2024-01-04 04:00:00,0.0
2024-01-04 04:30:00,0.0
2024-01-04 05:00:00,0.0
2024-01-04 05:30:00,0.0
2024-01-04 06:00:00,0.0
2024-01-04 06:30:00,0.0
2024-01-04 07:00:00,0.0
2024-01-04 07:30:00,45.958982969336404
2024-01-04 08:00:00,116.24658058495139
2024-01-04 08:30:00,216.5330525374885
2024-01-04 09:00:00,340.1357672639789
2024-01-04 09:30:00,478.33624932073855
2024-01-04 10:00:00,621.2589315411202
2024-01-04 10:30:00,758.6562901872627
2024-01-04 11:00:00,880.6618953454146
2024-01-04 11:30:00,978.4943084040112
2024-01-04 12:00:00,1045.076019530434
2024-01-04 12:30:00,1075.5301433163356
2024-01-04 13:00:00,1067.5231233842032
2024-01-04 13:30:00,1021.43107199821
2024-01-04 14:00:00,940.318840497982
2024-01-04 14:30:00,829.7333932263568
