,density,depth
10,207.22097416768167,0.1
30,232.18956932533933,0.3
50,281.48507022857206,0.5
70,323.7718586049137,0.7
90,353.87989706188165,0.9
110,379.91658715658406,1.1
130,386.0829642172884,1.3
150,393.64653717607507,1.5
170,405.16469540845145,1.7
190,401.6942689298019,1.9
210,402.6728841423574,2.1
230,406.88966381368357,2.3
250,413.71135198717167,2.5
270,419.31974110417286,2.7
290,425.7694442005691,2.9
310,429.35772807713664,3.1
330,431.37919995043853,3.3
350,431.46607137093054,3.5
370,431.4875720475023,3.7
390,431.4875720475023,3.9
410,431.4875720475023,4.1
430,431.4875720475023,4.3
450,431.4875720475023,4.5
470,431.4875720475023,4.7
490,431.4875720475023,4.9
