,density,depth
10,213.3791666666667,0.1
30,308.2916666666667,0.3
50,331.79583333333335,0.5
70,339.8958333333333,0.7
90,355.6666666666667,0.9
110,372.4041666666667,1.1
130,390.5041666666666,1.3
150,386.46666666666664,1.5
170,372.35833333333335,1.7
190,391.6666666666667,1.9
210,391.6666666666667,2.1
230,391.6666666666667,2.3
250,391.6666666666667,2.5
270,391.6666666666667,2.7
290,391.6666666666667,2.9
310,391.6666666666667,3.1
330,391.6666666666667,3.3
350,391.6666666666667,3.5
370,391.6666666666667,3.7
390,391.6666666666667,3.9
410,391.6666666666667,4.1
430,391.6666666666667,4.3
450,391.6666666666667,4.5
470,391.6666666666667,4.7
490,391.6666666666667,4.9
