,density,depth
10,242.18179049939098,0.1
30,279.884915499391,0.3
50,315.3963720329144,0.5
70,353.3242911735664,0.7
90,377.6136916289819,0.9
110,376.500709611206,1.1
130,383.4292513589343,1.3
150,385.6419530501344,1.5
170,406.8748978954909,1.7
190,405.9033468299712,1.9
210,409.3648161900833,2.1
230,408.0485607227503,2.3
250,414.7184388795585,2.5
270,409.59497248430876,2.7
290,409.59497248430876,2.9
310,409.59497248430876,3.1
330,409.59497248430876,3.3
350,409.59497248430876,3.5
370,409.59497248430876,3.7
390,409.59497248430876,3.9
410,409.59497248430876,4.1
430,409.59497248430876,4.3
450,409.59497248430876,4.5
470,409.59497248430876,4.7
490,409.59497248430876,4.9
