,sorted,mapping
0,-44.72358703613281,-31.3
1,-43.896881103515625,-31.3
2,-43.88505554199219,-31.1
3,-43.71284484863281,-30.9
4,-43.43499755859375,-30.9
5,-43.35398864746094,-30.8
6,-43.255126953125,-30.8
7,-43.2254638671875,-30.7
8,-42.859405517578125,-30.7
9,-42.775482177734375,-30.7
10,-42.763671875,-30.6
11,-42.410797119140625,-30.6
12,-42.330535888671875,-30.6
13,-42.30680847167969,-30.6
14,-41.9632568359375,-30.6
15,-41.80564880371094,-30.6
16,-41.76194763183594,-30.6
17,-41.661956787109375,-30.5
18,-41.63005065917969,-30.5
19,-41.340301513671875,-30.4
20,-41.30949401855469,-30.3
21,-41.18562316894531,-30.3
22,-41.15980529785156,-29.9
23,-41.14201354980469,-29.8
24,-41.058807373046875,-29.6
25,-40.70088195800781,-29.6
26,-40.54627990722656,-29.5
27,-40.34199523925781,-29.4
28,-40.26292419433594,-29.3
29,-40.23262023925781,-29.2
30,-40.12593078613281,-29.2
31,-40.06849670410156,-29.1
32,-39.98426818847656,-29.1
33,-39.935333251953125,-29.0
34,-39.93049621582031,-28.9
35,-39.923492431640625,-28.9
36,-39.86224365234375,-28.8
37,-39.730194091796875,-28.8
38,-39.65666198730469,-28.7
39,-39.64198303222656,-28.6
40,-39.53300476074219,-28.6
41,-39.49906921386719,-28.6
42,-39.49388122558594,-28.2
43,-39.44862365722656,-28.1
44,-39.446136474609375,-28.1
45,-39.40620422363281,-28.0
46,-39.40162658691406,-28.0
47,-39.36163330078125,-28.0
48,-39.246673583984375,-28.0
49,-39.21546936035156,-27.9
50,-39.19664001464844,-27.9
51,-39.1016845703125,-27.8
52,-39.04118347167969,-27.7
53,-39.02568054199219,-27.7
54,-38.97807312011719,-27.6
55,-38.898345947265625,-27.6
56,-38.893035888671875,-27.6
57,-38.88261413574219,-27.4
58,-38.87451171875,-27.4
59,-38.84770202636719,-27.4
60,-38.840545654296875,-27.3
61,-38.79827880859375,-27.2
62,-38.70146179199219,-27.1
63,-38.58384704589844,-27.1
64,-38.57969665527344,-27.1
65,-38.54840087890625,-27.1
66,-38.489501953125,-27.0
67,-38.40946960449219,-26.9
68,-38.332794189453125,-26.9
69,-38.302032470703125,-26.9
70,-38.29888916015625,-26.8
71,-38.19923400878906,-26.8
72,-38.16304016113281,-26.8
73,-38.14347839355469,-26.7
74,-38.135589599609375,-26.7
75,-38.04771423339844,-26.6
76,-38.00129699707031,-26.6
77,-37.96580505371094,-26.5
78,-37.91337585449219,-26.5
79,-37.873504638671875,-26.4
80,-37.87300109863281,-26.4
81,-37.865966796875,-26.3
82,-37.79252624511719,-26.3
83,-37.7838134765625,-26.3
84,-37.77775573730469,-26.2
85,-37.741485595703125,-26.2
86,-37.737579345703125,-26.2
87,-37.630645751953125,-26.2
88,-37.6064453125,-26.2
89,-37.59971618652344,-26.2
90,-37.58558654785156,-26.1
91,-37.49345397949219,-26.1
92,-37.45257568359375,-26.1
93,-37.44459533691406,-26.1
94,-37.42210388183594,-26.1
95,-37.413330078125,-26.1
96,-37.37849426269531,-26.0
97,-37.37156677246094,-26.0
98,-37.329803466796875,-26.0
99,-37.328582763671875,-26.0
100,-37.22877502441406,-26.0
101,-37.2239990234375,-25.9
