,density,depth
10,269.5615103532278,0.1
30,289.6698436865611,0.3
50,315.3963720329144,0.5
70,353.3242911735664,0.7
90,377.6136916289819,0.9
110,376.500709611206,1.1
130,383.4292513589343,1.3
150,385.6419530501344,1.5
170,406.8748978954909,1.7
190,403.0190696066855,1.9
210,404.15532724534023,2.1
230,403.0271082733405,2.3
250,408.74414669346186,2.5
270,410.5522411555651,2.7
290,410.5522411555651,2.9
310,410.5522411555651,3.1
330,410.5522411555651,3.3
350,410.5522411555651,3.5
370,410.5522411555651,3.7
390,410.5522411555651,3.9
410,410.5522411555651,4.1
430,410.5522411555651,4.3
450,410.5522411555651,4.5
470,410.5522411555651,4.7
490,410.5522411555651,4.9
