,density,depth
10,232.6453396941399,0.1
30,245.96192377822402,0.3
50,281.48507022857206,0.5
70,323.7718586049137,0.7
90,353.87989706188165,0.9
110,379.91658715658406,1.1
130,386.0829642172884,1.3
150,393.64653717607507,1.5
170,405.1646954084514,1.7
190,401.7487228869191,1.9
210,402.6620970853042,2.1
230,406.5977581118752,2.3
250,412.9646670737974,2.5
270,418.19916358299855,2.7
290,422.7998189128785,2.9
310,425.90966493923696,3.1
330,427.6616072294319,3.3
350,427.7368957938583,3.5
370,427.7555297135539,3.7
390,427.7555297135539,3.9
410,427.7555297135539,4.1
430,427.7555297135539,4.3
450,427.7555297135539,4.5
470,427.7555297135539,4.7
490,427.7555297135539,4.9
