,density,depth
10,219.07076228177021,0.1
30,230.68534561510353,0.3
50,258.8128826311209,0.5
70,303.75885585047837,0.7
90,340.1648532154047,0.9
110,389.2466428930444,1.1
130,407.9045286004957,1.3
150,405.7146487676066,1.5
170,412.609776778179,1.7
190,421.7597093177222,1.9
210,426.3880106076793,2.1
230,437.75756371794574,2.3
250,458.5726268143781,2.5
270,452.49574727112883,2.7
290,458.6427962562979,2.9
310,465.9021305601369,3.1
330,468.9042301434686,3.3
350,471.7266885076436,3.5
370,483.98864805568,3.7
390,485.790270052246,3.9
410,488.98467793699535,4.1
430,488.3506241331753,4.3
450,493.5165214103411,4.5
470,503.1892772024146,4.7
490,506.33701465316597,4.9
